,1 - id,Prediction
189,TEST190,TypeB
190,TEST191,TypeB
191,TEST192,TypeB
192,TEST193,TypeB
193,TEST194,TypeB
194,TEST195,TypeB
195,TEST196,TypeA
196,TEST197,TypeB
197,TEST198,TypeB
198,TEST199,TypeB
199,TEST200,TypeB
200,TEST201,TypeB
201,TEST202,TypeB
202,TEST203,TypeB
203,TEST204,TypeB
204,TEST205,TypeB
205,TEST206,TypeB
206,TEST207,TypeB
207,TEST208,TypeB
208,TEST209,TypeB
209,TEST210,TypeA
210,TEST211,TypeA
211,TEST212,TypeB
212,TEST213,TypeB
213,TEST214,TypeA
214,TEST215,TypeB
215,TEST216,TypeB
216,TEST217,TypeB
217,TEST218,TypeB
218,TEST219,TypeB
219,TEST220,TypeB
220,TEST221,TypeA
221,TEST222,TypeB
222,TEST223,TypeB
223,TEST224,TypeB
224,TEST225,TypeB
225,TEST226,TypeB
226,TEST227,TypeB
227,TEST228,TypeB
228,TEST229,TypeB
229,TEST230,TypeB
230,TEST231,TypeB
231,TEST232,TypeB
232,TEST233,TypeB
233,TEST234,TypeB
234,TEST235,TypeB
235,TEST236,TypeA
236,TEST237,TypeB
237,TEST238,TypeA
238,TEST239,TypeA
239,TEST240,TypeB
240,TEST241,TypeA
241,TEST242,TypeB
242,TEST243,TypeB
243,TEST244,TypeB
244,TEST245,TypeB
245,TEST246,TypeB
246,TEST247,TypeB
247,TEST248,TypeB
248,TEST249,TypeB
249,TEST250,TypeA
250,TEST251,TypeB
251,TEST252,TypeB
252,TEST253,TypeB
253,TEST254,TypeB
254,TEST255,TypeB
255,TEST256,TypeB
256,TEST257,TypeB
257,TEST258,TypeA
258,TEST259,TypeB
259,TEST260,TypeB
260,TEST261,TypeB
261,TEST262,TypeA
262,TEST263,TypeB
263,TEST264,TypeB
264,TEST265,TypeB
265,TEST266,TypeB
266,TEST267,TypeB
267,TEST268,TypeB
268,TEST269,TypeA
269,TEST270,TypeB
270,TEST271,TypeB
271,TEST272,TypeB
272,TEST273,TypeB
273,TEST274,TypeA
274,TEST275,TypeB
275,TEST276,TypeB
276,TEST277,TypeB
277,TEST278,TypeB
278,TEST279,TypeB
279,TEST280,TypeB
280,TEST281,TypeB
281,TEST282,TypeA
282,TEST283,TypeB
283,TEST284,TypeB
284,TEST285,TypeB
285,TEST286,TypeB
286,TEST287,TypeB
287,TEST288,TypeB
288,TEST289,TypeB
289,TEST290,TypeB
290,TEST291,TypeB
291,TEST292,TypeB
292,TEST293,TypeB
293,TEST294,TypeB
294,TEST295,TypeB
295,TEST296,TypeA
296,TEST297,TypeB
297,TEST298,TypeA
298,TEST299,TypeB
299,TEST300,TypeB
300,TEST301,TypeB
301,TEST302,TypeB
302,TEST303,TypeB
303,TEST304,TypeB
304,TEST305,TypeB
305,TEST306,TypeA
306,TEST307,TypeA
307,TEST308,TypeB
308,TEST309,TypeB
309,TEST310,TypeA
310,TEST311,TypeB
311,TEST312,TypeB
312,TEST313,TypeB
313,TEST314,TypeB
314,TEST315,TypeB
315,TEST316,TypeB
316,TEST317,TypeA
317,TEST318,TypeB
318,TEST319,TypeB
319,TEST320,TypeB
320,TEST321,TypeB
321,TEST322,TypeB
322,TEST323,TypeB
323,TEST324,TypeB
324,TEST325,TypeA
325,TEST326,TypeB
326,TEST327,TypeA
327,TEST328,TypeA
328,TEST329,TypeB
329,TEST330,TypeB
330,TEST331,TypeB
331,TEST332,TypeB
332,TEST333,TypeB
333,TEST334,TypeA
334,TEST335,TypeB
335,TEST336,TypeA
336,TEST337,TypeB
337,TEST338,TypeB
338,TEST339,TypeB
339,TEST340,TypeB
340,TEST341,TypeB
341,TEST342,TypeB
342,TEST343,TypeB
343,TEST344,TypeB
344,TEST345,TypeB
345,TEST346,TypeB
346,TEST347,TypeB
347,TEST348,TypeB
348,TEST349,TypeB
349,TEST350,TypeB
350,TEST351,TypeB
351,TEST352,TypeB
352,TEST353,TypeB
353,TEST354,TypeB
354,TEST355,TypeB
355,TEST356,TypeB
356,TEST357,TypeB
357,TEST358,TypeB
358,TEST359,TypeB
359,TEST360,TypeA
360,TEST361,TypeB
361,TEST362,TypeB
362,TEST363,TypeA
363,TEST364,TypeB
364,TEST365,TypeB
365,TEST366,TypeA
366,TEST367,TypeB
367,TEST368,TypeB
368,TEST369,TypeB
369,TEST370,TypeB
370,TEST371,TypeB
371,TEST372,TypeB
372,TEST373,TypeB
373,TEST374,TypeB
374,TEST375,TypeB
375,TEST376,TypeB
376,TEST377,TypeB
377,TEST378,TypeB
378,TEST379,TypeB
379,TEST380,TypeA
380,TEST381,TypeA
381,TEST382,TypeB
382,TEST383,TypeB
383,TEST384,TypeB
384,TEST385,TypeB
385,TEST386,TypeA
386,TEST387,TypeA
387,TEST388,TypeB
388,TEST389,TypeB
389,TEST390,TypeB
390,TEST391,TypeA
391,TEST392,TypeB
392,TEST393,TypeB
393,TEST394,TypeB
394,TEST395,TypeB
395,TEST396,TypeB
396,TEST397,TypeA
397,TEST398,TypeA
398,TEST399,TypeA
399,TEST400,TypeA
400,TEST401,TypeB
401,TEST402,TypeB
402,TEST403,TypeB
403,TEST404,TypeB
404,TEST405,TypeA
405,TEST406,TypeA
406,TEST407,TypeB
407,TEST408,TypeB
408,TEST409,TypeB
409,TEST410,TypeB
410,TEST411,TypeB
411,TEST412,TypeB
412,TEST413,TypeB
413,TEST414,TypeB
414,TEST415,TypeB
415,TEST416,TypeB
416,TEST417,TypeB
417,TEST418,TypeB
418,TEST419,TypeB
419,TEST420,TypeB
420,TEST421,TypeB
421,TEST422,TypeB
422,TEST423,TypeA
423,TEST424,TypeB
424,TEST425,TypeB
425,TEST426,TypeB
426,TEST427,TypeB
427,TEST428,TypeB
428,TEST429,TypeB
429,TEST430,TypeB
430,TEST431,TypeB
431,TEST432,TypeB
432,TEST433,TypeB
433,TEST434,TypeB
434,TEST435,TypeA
435,TEST436,TypeB
436,TEST437,TypeB
437,TEST438,TypeA
438,TEST439,TypeB
439,TEST440,TypeB
440,TEST441,TypeB
441,TEST442,TypeB
442,TEST443,TypeB
443,TEST444,TypeB
444,TEST445,TypeB
445,TEST446,TypeB
446,TEST447,TypeB
447,TEST448,TypeA
448,TEST449,TypeB
449,TEST450,TypeB
450,TEST451,TypeB
451,TEST452,TypeB
452,TEST453,TypeB
453,TEST454,TypeB
454,TEST455,TypeA
455,TEST456,TypeB
456,TEST457,TypeB
457,TEST458,TypeA
458,TEST459,TypeB
459,TEST460,TypeB
460,TEST461,TypeA
461,TEST462,TypeB
462,TEST463,TypeA
463,TEST464,TypeB
464,TEST465,TypeB
465,TEST466,TypeB
466,TEST467,TypeB
467,TEST468,TypeA
468,TEST469,TypeA
469,TEST470,TypeB
470,TEST471,TypeB
471,TEST472,TypeB
472,TEST473,TypeB
473,TEST474,TypeB
474,TEST475,TypeB
475,TEST476,TypeB
476,TEST477,TypeB
477,TEST478,TypeB
478,TEST479,TypeA
479,TEST480,TypeA
480,TEST481,TypeB
481,TEST482,TypeB
482,TEST483,TypeB
483,TEST484,TypeB
484,TEST485,TypeA
485,TEST486,TypeB
486,TEST487,TypeB
487,TEST488,TypeB
488,TEST489,TypeB
489,TEST490,TypeB
490,TEST491,TypeB
491,TEST492,TypeB
492,TEST493,TypeB
493,TEST494,TypeB
494,TEST495,TypeB
495,TEST496,TypeB
496,TEST497,TypeB
497,TEST498,TypeB
498,TEST499,TypeB
499,TEST500,TypeB
500,TEST501,TypeB
501,TEST502,TypeB
502,TEST503,TypeB
503,TEST504,TypeB
504,TEST505,TypeB
505,TEST506,TypeB
506,TEST507,TypeB
507,TEST508,TypeA
508,TEST509,TypeB
509,TEST510,TypeA
510,TEST511,TypeB
511,TEST512,TypeB
512,TEST513,TypeB
513,TEST514,TypeB
514,TEST515,TypeB
515,TEST516,TypeB
516,TEST517,TypeB
517,TEST518,TypeB
518,TEST519,TypeA
519,TEST520,TypeA
520,TEST521,TypeA
521,TEST522,TypeB
522,TEST523,TypeB
523,TEST524,TypeB
524,TEST525,TypeA
525,TEST526,TypeB
526,TEST527,TypeB
527,TEST528,TypeA
528,TEST529,TypeB
529,TEST530,TypeA
530,TEST531,TypeB
531,TEST532,TypeB
532,TEST533,TypeB
533,TEST534,TypeB
534,TEST535,TypeB
535,TEST536,TypeB
536,TEST537,TypeB
537,TEST538,TypeA
538,TEST539,TypeB
539,TEST540,TypeB
540,TEST541,TypeB
541,TEST542,TypeB
542,TEST543,TypeB
543,TEST544,TypeA
544,TEST545,TypeB
545,TEST546,TypeB
546,TEST547,TypeB
547,TEST548,TypeA
548,TEST549,TypeB
549,TEST550,TypeB
550,TEST551,TypeB
551,TEST552,TypeB
552,TEST553,TypeB
553,TEST554,TypeA
554,TEST555,TypeB
555,TEST556,TypeB
556,TEST557,TypeB
557,TEST558,TypeB
558,TEST559,TypeB
559,TEST560,TypeB
560,TEST561,TypeB
561,TEST562,TypeB
562,TEST563,TypeB
563,TEST564,TypeB
564,TEST565,TypeB
565,TEST566,TypeA
566,TEST567,TypeB
567,TEST568,TypeA
568,TEST569,TypeB
569,TEST570,TypeA
570,TEST571,TypeB
571,TEST572,TypeB
572,TEST573,TypeB
573,TEST574,TypeA
574,TEST575,TypeA
575,TEST576,TypeB
576,TEST577,TypeA
577,TEST578,TypeB
578,TEST579,TypeB
579,TEST580,TypeB
580,TEST581,TypeB
581,TEST582,TypeB
582,TEST583,TypeB
583,TEST584,TypeB
584,TEST585,TypeB
585,TEST586,TypeB
586,TEST587,TypeB
587,TEST588,TypeB
588,TEST589,TypeA
589,TEST590,TypeB
590,TEST591,TypeB
591,TEST592,TypeB
592,TEST593,TypeB
593,TEST594,TypeB
594,TEST595,TypeB
595,TEST596,TypeB
596,TEST597,TypeA
597,TEST598,TypeB
598,TEST599,TypeB
599,TEST600,TypeB
600,TEST601,TypeB
601,TEST602,TypeB
602,TEST603,TypeB
603,TEST604,TypeB
604,TEST605,TypeB
605,TEST606,TypeB
606,TEST607,TypeB
607,TEST608,TypeB
608,TEST609,TypeB
609,TEST610,TypeB
610,TEST611,TypeB
611,TEST612,TypeB
612,TEST613,TypeB
613,TEST614,TypeB
614,TEST615,TypeB
615,TEST616,TypeB
616,TEST617,TypeB
617,TEST618,TypeB
618,TEST619,TypeB
619,TEST620,TypeA
620,TEST621,TypeB
621,TEST622,TypeB
622,TEST623,TypeB
623,TEST624,TypeB
624,TEST625,TypeB
625,TEST626,TypeB
626,TEST627,TypeA
627,TEST628,TypeB
628,TEST629,TypeB
629,TEST630,TypeA
630,TEST631,TypeB
631,TEST632,TypeB
632,TEST633,TypeB
633,TEST634,TypeB
634,TEST635,TypeB
635,TEST636,TypeB
636,TEST637,TypeA
637,TEST638,TypeA
638,TEST639,TypeA
639,TEST640,TypeA
640,TEST641,TypeB
641,TEST642,TypeB
642,TEST643,TypeB
643,TEST644,TypeA
644,TEST645,TypeA
645,TEST646,TypeA
646,TEST647,TypeB
647,TEST648,TypeB
648,TEST649,TypeB
649,TEST650,TypeB
650,TEST651,TypeA
651,TEST652,TypeB
652,TEST653,TypeA
653,TEST654,TypeB
654,TEST655,TypeA
655,TEST656,TypeB
656,TEST657,TypeA
657,TEST658,TypeB
658,TEST659,TypeA
659,TEST660,TypeB
660,TEST661,TypeB
661,TEST662,TypeB
662,TEST663,TypeB
663,TEST664,TypeB
664,TEST665,TypeB
665,TEST666,TypeB
666,TEST667,TypeB
667,TEST668,TypeB
668,TEST669,TypeB
669,TEST670,TypeB
670,TEST671,TypeB
671,TEST672,TypeB
672,TEST673,TypeB
673,TEST674,TypeA
674,TEST675,TypeB
675,TEST676,TypeB
676,TEST677,TypeA
677,TEST678,TypeA
678,TEST679,TypeB
679,TEST680,TypeB
680,TEST681,TypeB
681,TEST682,TypeB
682,TEST683,TypeB
683,TEST684,TypeB
684,TEST685,TypeB
685,TEST686,TypeB
686,TEST687,TypeB
687,TEST688,TypeB
688,TEST689,TypeB
689,TEST690,TypeB
690,TEST691,TypeB
691,TEST692,TypeB
692,TEST693,TypeA
693,TEST694,TypeB
694,TEST695,TypeA
695,TEST696,TypeA
696,TEST697,TypeB
697,TEST698,TypeB
698,TEST699,TypeB
699,TEST700,TypeA
700,TEST701,TypeB
701,TEST702,TypeB
702,TEST703,TypeB
703,TEST704,TypeB
704,TEST705,TypeB
705,TEST706,TypeB
706,TEST707,TypeB
707,TEST708,TypeB
708,TEST709,TypeA
709,TEST710,TypeB
710,TEST711,TypeB
711,TEST712,TypeB
712,TEST713,TypeB
713,TEST714,TypeB
714,TEST715,TypeB
715,TEST716,TypeB
716,TEST717,TypeA
717,TEST718,TypeB
718,TEST719,TypeB
719,TEST720,TypeB
720,TEST721,TypeA
721,TEST722,TypeB
722,TEST723,TypeB
723,TEST724,TypeB
724,TEST725,TypeA
725,TEST726,TypeB
726,TEST727,TypeA
727,TEST728,TypeA
728,TEST729,TypeA
729,TEST730,TypeB
730,TEST731,TypeB
731,TEST732,TypeB
732,TEST733,TypeB
733,TEST734,TypeA
734,TEST735,TypeB
735,TEST736,TypeA
736,TEST737,TypeB
737,TEST738,TypeB
738,TEST739,TypeA
739,TEST740,TypeB
740,TEST741,TypeB
741,TEST742,TypeA
742,TEST743,TypeA
743,TEST744,TypeA
744,TEST745,TypeB
745,TEST746,TypeB
746,TEST747,TypeB
747,TEST748,TypeB
748,TEST749,TypeA
749,TEST750,TypeA
750,TEST751,TypeB
751,TEST752,TypeB
752,TEST753,TypeB
753,TEST754,TypeB
754,TEST755,TypeB
755,TEST756,TypeB
756,TEST757,TypeB
757,TEST758,TypeA
758,TEST759,TypeA
759,TEST760,TypeB
760,TEST761,TypeB
761,TEST762,TypeB
762,TEST763,TypeB
763,TEST764,TypeB
764,TEST765,TypeB
765,TEST766,TypeA
766,TEST767,TypeB
767,TEST768,TypeB
768,TEST769,TypeB
769,TEST770,TypeB
770,TEST771,TypeB
771,TEST772,TypeB
772,TEST773,TypeB
773,TEST774,TypeB
774,TEST775,TypeB
775,TEST776,TypeA
776,TEST777,TypeB
777,TEST778,TypeB
778,TEST779,TypeB
779,TEST780,TypeB
780,TEST781,TypeB
781,TEST782,TypeB
782,TEST783,TypeB
783,TEST784,TypeA
784,TEST785,TypeB
785,TEST786,TypeB
786,TEST787,TypeB
787,TEST788,TypeA
788,TEST789,TypeB
789,TEST790,TypeB
790,TEST791,TypeB
791,TEST792,TypeB
792,TEST793,TypeB
793,TEST794,TypeB
794,TEST795,TypeB
795,TEST796,TypeB
796,TEST797,TypeB
797,TEST798,TypeB
798,TEST799,TypeA
799,TEST800,TypeB
800,TEST801,TypeB
801,TEST802,TypeB
802,TEST803,TypeA
803,TEST804,TypeA
804,TEST805,TypeB
805,TEST806,TypeA
806,TEST807,TypeB
807,TEST808,TypeA
808,TEST809,TypeB
809,TEST810,TypeA
810,TEST811,TypeA
811,TEST812,TypeB
812,TEST813,TypeB
813,TEST814,TypeB
814,TEST815,TypeB
815,TEST816,TypeB
816,TEST817,TypeB
817,TEST818,TypeB
818,TEST819,TypeB
819,TEST820,TypeA
820,TEST821,TypeB
821,TEST822,TypeB
822,TEST823,TypeB
823,TEST824,TypeA
824,TEST825,TypeB
825,TEST826,TypeB
826,TEST827,TypeB
827,TEST828,TypeB
828,TEST829,TypeB
829,TEST830,TypeB
830,TEST831,TypeB
831,TEST832,TypeB
832,TEST833,TypeB
833,TEST834,TypeA
834,TEST835,TypeA
835,TEST836,TypeB
836,TEST837,TypeB
837,TEST838,TypeB
838,TEST839,TypeB
839,TEST840,TypeB
840,TEST841,TypeB
841,TEST842,TypeB
842,TEST843,TypeB
843,TEST844,TypeB
844,TEST845,TypeB
845,TEST846,TypeB
846,TEST847,TypeB
847,TEST848,TypeB
848,TEST849,TypeA
849,TEST850,TypeB
850,TEST851,TypeB
851,TEST852,TypeA
852,TEST853,TypeB
853,TEST854,TypeA
854,TEST855,TypeB
855,TEST856,TypeB
856,TEST857,TypeB
857,TEST858,TypeB
858,TEST859,TypeB
859,TEST860,TypeB
860,TEST861,TypeB
861,TEST862,TypeB
862,TEST863,TypeB
863,TEST864,TypeA
864,TEST865,TypeB
865,TEST866,TypeB
866,TEST867,TypeB
867,TEST868,TypeA
868,TEST869,TypeB
869,TEST870,TypeB
870,TEST871,TypeB
871,TEST872,TypeB
872,TEST873,TypeB
873,TEST874,TypeB
874,TEST875,TypeB
875,TEST876,TypeB
876,TEST877,TypeB
877,TEST878,TypeB
878,TEST879,TypeA
879,TEST880,TypeB
880,TEST881,TypeA
881,TEST882,TypeB
882,TEST883,TypeB
883,TEST884,TypeB
884,TEST885,TypeA
885,TEST886,TypeB
886,TEST887,TypeB
887,TEST888,TypeB
888,TEST889,TypeA
889,TEST890,TypeB
890,TEST891,TypeB
891,TEST892,TypeB
892,TEST893,TypeB
893,TEST894,TypeA
894,TEST895,TypeA
895,TEST896,TypeA
896,TEST897,TypeB
897,TEST898,TypeA
898,TEST899,TypeA
899,TEST900,TypeB
900,TEST901,TypeB
901,TEST902,TypeB
902,TEST903,TypeB
903,TEST904,TypeA
904,TEST905,TypeB
905,TEST906,TypeB
906,TEST907,TypeB
907,TEST908,TypeB
908,TEST909,TypeA
909,TEST910,TypeB
910,TEST911,TypeA
911,TEST912,TypeA
912,TEST913,TypeB
913,TEST914,TypeB
914,TEST915,TypeB
915,TEST916,TypeB
916,TEST917,TypeA
917,TEST918,TypeB
918,TEST919,TypeA
919,TEST920,TypeB
920,TEST921,TypeA
921,TEST922,TypeB
922,TEST923,TypeA
923,TEST924,TypeB
924,TEST925,TypeA
925,TEST926,TypeB
926,TEST927,TypeB
927,TEST928,TypeB
928,TEST929,TypeA
929,TEST930,TypeA
930,TEST931,TypeB
931,TEST932,TypeA
932,TEST933,TypeB
933,TEST934,TypeB
934,TEST935,TypeB
935,TEST936,TypeB
936,TEST937,TypeA
937,TEST938,TypeB
938,TEST939,TypeB
939,TEST940,TypeA
940,TEST941,TypeA
941,TEST942,TypeA
942,TEST943,TypeA
943,TEST944,TypeB
944,TEST945,TypeB
945,TEST946,TypeB
946,TEST947,TypeA
947,TEST948,TypeA
948,TEST949,TypeA
949,TEST950,TypeA
950,TEST951,TypeA
951,TEST952,TypeB
952,TEST953,TypeB
953,TEST954,TypeB
954,TEST955,TypeB
955,TEST956,TypeB
956,TEST957,TypeB
957,TEST958,TypeA
958,TEST959,TypeB
959,TEST960,TypeB
960,TEST961,TypeB
961,TEST962,TypeB
962,TEST963,TypeA
963,TEST964,TypeB
964,TEST965,TypeB
965,TEST966,TypeA
966,TEST967,TypeA
967,TEST968,TypeA
968,TEST969,TypeA
969,TEST970,TypeB
970,TEST971,TypeB
971,TEST972,TypeA
972,TEST973,TypeA
973,TEST974,TypeB
974,TEST975,TypeB
975,TEST976,TypeB
976,TEST977,TypeB
977,TEST978,TypeB
978,TEST979,TypeB
979,TEST980,TypeA
980,TEST981,TypeB
981,TEST982,TypeA
982,TEST983,TypeA
983,TEST984,TypeA
984,TEST985,TypeB
985,TEST986,TypeB
986,TEST987,TypeB
987,TEST988,TypeA
988,TEST989,TypeB
989,TEST990,TypeB
990,TEST991,TypeB
991,TEST992,TypeB
992,TEST993,TypeA
993,TEST994,TypeB
994,TEST995,TypeA
995,TEST996,TypeB
996,TEST997,TypeB
997,TEST998,TypeB
998,TEST999,TypeA
999,TEST1000,TypeB
1000,TEST1001,TypeB
1001,TEST1002,TypeB
1002,TEST1003,TypeA
1003,TEST1004,TypeB
1004,TEST1005,TypeB
1005,TEST1006,TypeB
1006,TEST1007,TypeA
1007,TEST1008,TypeA
1008,TEST1009,TypeB
1009,TEST1010,TypeA
1010,TEST1011,TypeB
1011,TEST1012,TypeA
1012,TEST1013,TypeA
1013,TEST1014,TypeB
1014,TEST1015,TypeA
1015,TEST1016,TypeA
1016,TEST1017,TypeA
1017,TEST1018,TypeB
1018,TEST1019,TypeB
1019,TEST1020,TypeB
1020,TEST1021,TypeA
1021,TEST1022,TypeB
1022,TEST1023,TypeB
1023,TEST1024,TypeB
1024,TEST1025,TypeB
1025,TEST1026,TypeB
1026,TEST1027,TypeB
1027,TEST1028,TypeA
1028,TEST1029,TypeA
1029,TEST1030,TypeA
1030,TEST1031,TypeB
1031,TEST1032,TypeB
1032,TEST1033,TypeB
1033,TEST1034,TypeB
1034,TEST1035,TypeA
1035,TEST1036,TypeB
1036,TEST1037,TypeB
1037,TEST1038,TypeB
1038,TEST1039,TypeB
1039,TEST1040,TypeB
1040,TEST1041,TypeB
1041,TEST1042,TypeB
1042,TEST1043,TypeB
1043,TEST1044,TypeB
1044,TEST1045,TypeB
1045,TEST1046,TypeA
1046,TEST1047,TypeB
1047,TEST1048,TypeA
1048,TEST1049,TypeB
1049,TEST1050,TypeB
1050,TEST1051,TypeB
1051,TEST1052,TypeA
1052,TEST1053,TypeA
1053,TEST1054,TypeB
1054,TEST1055,TypeB
1055,TEST1056,TypeA
1056,TEST1057,TypeA
1057,TEST1058,TypeB
1058,TEST1059,TypeB
1059,TEST1060,TypeA
1060,TEST1061,TypeA
1061,TEST1062,TypeA
1062,TEST1063,TypeB
1063,TEST1064,TypeB
1064,TEST1065,TypeB
1065,TEST1066,TypeB
1066,TEST1067,TypeA
1067,TEST1068,TypeA
1068,TEST1069,TypeB
1069,TEST1070,TypeB
1070,TEST1071,TypeB
1071,TEST1072,TypeA
1072,TEST1073,TypeB
1073,TEST1074,TypeB
1074,TEST1075,TypeA
1075,TEST1076,TypeB
1076,TEST1077,TypeB
1077,TEST1078,TypeB
1078,TEST1079,TypeB
1079,TEST1080,TypeB
1080,TEST1081,TypeB
1081,TEST1082,TypeB
1082,TEST1083,TypeB
1083,TEST1084,TypeB
1084,TEST1085,TypeB
1085,TEST1086,TypeB
1086,TEST1087,TypeB
1087,TEST1088,TypeB
1088,TEST1089,TypeB
1089,TEST1090,TypeB
1090,TEST1091,TypeA
1091,TEST1092,TypeB
1092,TEST1093,TypeB
1093,TEST1094,TypeB
1094,TEST1095,TypeA
1095,TEST1096,TypeA
1096,TEST1097,TypeB
1097,TEST1098,TypeB
1098,TEST1099,TypeA
1099,TEST1100,TypeB
1100,TEST1101,TypeB
1101,TEST1102,TypeA
1102,TEST1103,TypeB
1103,TEST1104,TypeA
1104,TEST1105,TypeB
1105,TEST1106,TypeB
1106,TEST1107,TypeB
1107,TEST1108,TypeB
1108,TEST1109,TypeB
1109,TEST1110,TypeB
1110,TEST1111,TypeB
1111,TEST1112,TypeA
1112,TEST1113,TypeA
1113,TEST1114,TypeB
1114,TEST1115,TypeB
1115,TEST1116,TypeB
1116,TEST1117,TypeB
1117,TEST1118,TypeB
1118,TEST1119,TypeB
1119,TEST1120,TypeA
1120,TEST1121,TypeB
1121,TEST1122,TypeA
1122,TEST1123,TypeA
1123,TEST1124,TypeA
1124,TEST1125,TypeA
1125,TEST1126,TypeB
1126,TEST1127,TypeB
1127,TEST1128,TypeB
1128,TEST1129,TypeB
1129,TEST1130,TypeB
1130,TEST1131,TypeB
1131,TEST1132,TypeB
1132,TEST1133,TypeA
1133,TEST1134,TypeB
1134,TEST1135,TypeA
1135,TEST1136,TypeB
1136,TEST1137,TypeB
1137,TEST1138,TypeB
1138,TEST1139,TypeB
1139,TEST1140,TypeA
1140,TEST1141,TypeA
